match_id,key,team,player_slot,slot,time,type,unit
3497210298,,3,,,17,CHAT_MESSAGE_COURIER_LOST,
3497210298,9,,3,3,54,CHAT_MESSAGE_FIRSTBLOOD,
3497210298,npc_dota_badguys_tower1_bot,,2,2,414,building_kill,npc_dota_hero_dragon_knight
3497210298,npc_dota_goodguys_tower1_bot,,129,6,505,building_kill,npc_dota_hero_necrolyte
3497210298,npc_dota_badguys_tower1_top,,,,514,building_kill,npc_dota_creep_goodguys_melee
3497210298,npc_dota_goodguys_tower1_mid,,129,6,805,building_kill,npc_dota_hero_necrolyte
3497210298,npc_dota_badguys_tower1_mid,,128,5,981,building_kill,npc_dota_hero_faceless_void
3497210298,npc_dota_badguys_tower2_top,,0,0,1023,building_kill,npc_dota_hero_jakiro
3497210298,npc_dota_goodguys_tower2_bot,,129,6,1025,building_kill,npc_dota_hero_necrolyte
3497210298,npc_dota_goodguys_tower1_top,,4,4,1166,building_kill,npc_dota_hero_puck
3497210298,npc_dota_badguys_tower2_mid,,2,2,1655,building_kill,npc_dota_hero_dragon_knight
3497210298,,2,,,2069,CHAT_MESSAGE_ROSHAN_KILL,
3497210298,,,3,3,2070,CHAT_MESSAGE_AEGIS,
3497210298,npc_dota_badguys_tower3_mid,,3,3,2098,building_kill,npc_dota_hero_arc_warden
3497210298,npc_dota_badguys_tower2_bot,,3,3,2102,building_kill,npc_dota_hero_arc_warden
3497210298,npc_dota_badguys_melee_rax_mid,,2,2,2104,building_kill,npc_dota_hero_dragon_knight
3497210298,npc_dota_badguys_healers,,3,3,2229,building_kill,npc_dota_hero_arc_warden
3497210298,npc_dota_badguys_range_rax_mid,,3,3,2268,building_kill,npc_dota_hero_arc_warden
3497210298,npc_dota_badguys_healers,,3,3,2359,building_kill,npc_dota_hero_arc_warden
3497210298,npc_dota_badguys_tower3_top,,3,3,2591,building_kill,npc_dota_hero_arc_warden
3497210298,npc_dota_badguys_melee_rax_top,,3,3,2597,building_kill,npc_dota_hero_arc_warden
3497210298,npc_dota_badguys_range_rax_top,,2,2,2617,building_kill,npc_dota_hero_dragon_knight
3497210298,npc_dota_badguys_fort,,,,2620,building_kill,dota_unknown
3497321153,6,,3,3,48,CHAT_MESSAGE_FIRSTBLOOD,
3497321153,npc_dota_goodguys_tower1_bot,,,,588,building_kill,npc_dota_creep_badguys_ranged
3497321153,npc_dota_badguys_tower1_top,,,,600,building_kill,npc_dota_creep_goodguys_ranged
3497321153,npc_dota_badguys_tower1_mid,,,,909,building_kill,npc_dota_creep_goodguys_melee
3497321153,npc_dota_goodguys_tower1_top,,128,5,1156,building_kill,npc_dota_hero_doom_bringer
3497321153,npc_dota_goodguys_tower1_mid,,128,5,1252,building_kill,npc_dota_hero_doom_bringer
3497321153,npc_dota_goodguys_tower2_bot,,,,1282,building_kill,npc_dota_badguys_siege
3497321153,npc_dota_badguys_tower2_top,,4,4,1324,building_kill,npc_dota_hero_phantom_lancer
3497321153,npc_dota_badguys_tower1_bot,,1,1,1411,building_kill,npc_dota_hero_lina
3497321153,,2,,,1590,CHAT_MESSAGE_ROSHAN_KILL,
3497321153,,,4,4,1591,CHAT_MESSAGE_AEGIS,
3497321153,npc_dota_badguys_tower2_mid,,4,4,1691,building_kill,npc_dota_hero_phantom_lancer
3497321153,npc_dota_badguys_tower2_bot,,0,0,1885,building_kill,npc_dota_hero_abyssal_underlord
3497321153,npc_dota_badguys_tower3_mid,,1,1,2148,building_kill,npc_dota_hero_lina
3497321153,npc_dota_badguys_melee_rax_mid,,1,1,2302,building_kill,npc_dota_hero_lina
3497321153,npc_dota_badguys_range_rax_mid,,1,1,2303,building_kill,npc_dota_hero_lina
3497321153,npc_dota_badguys_tower3_top,,1,1,2337,building_kill,npc_dota_hero_lina
3497321153,npc_dota_badguys_melee_rax_top,,0,0,2343,building_kill,npc_dota_hero_abyssal_underlord
3497321153,npc_dota_badguys_range_rax_top,,1,1,2346,building_kill,npc_dota_hero_lina
3497321153,npc_dota_badguys_fort,,,,2347,building_kill,dota_unknown
3497486752,0,,132,9,328,CHAT_MESSAGE_FIRSTBLOOD,
3497486752,npc_dota_goodguys_tower1_bot,,,,407,building_kill,npc_dota_creep_badguys_melee
3497486752,npc_dota_badguys_tower1_mid,,1,1,582,building_kill,npc_dota_hero_pugna
3497486752,npc_dota_badguys_tower1_top,,1,1,686,building_kill,npc_dota_hero_pugna
3497486752,npc_dota_goodguys_tower1_mid,,129,6,742,building_kill,npc_dota_hero_broodmother
3497486752,npc_dota_badguys_tower2_top,,1,1,991,building_kill,npc_dota_hero_pugna
3497486752,npc_dota_goodguys_tower2_bot,,,,996,building_kill,npc_dota_creep_badguys_melee
3497486752,,3,,,1125,CHAT_MESSAGE_ROSHAN_KILL,
3497486752,,,0,0,1126,CHAT_MESSAGE_AEGIS_STOLEN,
3497486752,npc_dota_goodguys_tower1_top,,128,5,1365,building_kill,npc_dota_hero_medusa
3497486752,npc_dota_goodguys_tower2_mid,,128,5,1444,building_kill,npc_dota_hero_medusa
3497486752,npc_dota_badguys_tower1_bot,,0,0,1541,building_kill,npc_dota_hero_alchemist
3497486752,,3,,,1890,CHAT_MESSAGE_ROSHAN_KILL,
3497486752,,,129,6,1890,CHAT_MESSAGE_AEGIS,
3497486752,npc_dota_badguys_tower2_mid,,1,1,2253,building_kill,npc_dota_hero_pugna
3497486752,npc_dota_badguys_tower3_mid,,1,1,2285,building_kill,npc_dota_hero_pugna
3497486752,npc_dota_badguys_melee_rax_mid,,,,2293,building_kill,npc_dota_creep_goodguys_ranged
3497486752,npc_dota_badguys_range_rax_mid,,0,0,2299,building_kill,npc_dota_hero_alchemist
3497486752,npc_dota_badguys_healers,,1,1,2376,building_kill,npc_dota_hero_pugna
3497486752,npc_dota_badguys_tower2_bot,,0,0,2552,building_kill,npc_dota_hero_alchemist
3497486752,npc_dota_badguys_tower3_bot,,,,2570,building_kill,npc_dota_creep_goodguys_melee
3497486752,,2,,,2594,CHAT_MESSAGE_ROSHAN_KILL,
3497486752,,,4,4,2596,CHAT_MESSAGE_AEGIS,
3497486752,npc_dota_badguys_range_rax_bot,,1,1,2649,building_kill,npc_dota_hero_pugna
3497486752,npc_dota_badguys_melee_rax_bot,,4,4,2654,building_kill,npc_dota_hero_venomancer
3497486752,npc_dota_badguys_fort,,,,2660,building_kill,dota_unknown
3497644587,2,,128,5,83,CHAT_MESSAGE_FIRSTBLOOD,
3497644587,npc_dota_badguys_tower1_top,,,,353,building_kill,npc_dota_creep_goodguys_melee
3497644587,npc_dota_goodguys_tower1_bot,,129,6,621,building_kill,npc_dota_hero_sand_king
3497644587,npc_dota_badguys_tower1_mid,,2,2,699,building_kill,npc_dota_hero_medusa
3497644587,npc_dota_goodguys_tower2_bot,,132,9,722,building_kill,npc_dota_hero_venomancer
3497644587,npc_dota_goodguys_tower1_mid,,128,5,821,building_kill,npc_dota_hero_sven
3497644587,,3,,,930,CHAT_MESSAGE_ROSHAN_KILL,
3497644587,,,128,5,930,CHAT_MESSAGE_AEGIS,
3497644587,npc_dota_goodguys_tower1_top,,128,5,970,building_kill,npc_dota_hero_sven
3497644587,npc_dota_goodguys_tower2_mid,,128,5,1133,building_kill,npc_dota_hero_sven
3497644587,npc_dota_goodguys_tower2_top,,,,1191,building_kill,npc_dota_creep_badguys_ranged
3497644587,npc_dota_badguys_tower1_bot,,,,1203,building_kill,npc_dota_creep_goodguys_ranged
3497644587,npc_dota_goodguys_tower3_top,,130,7,1256,building_kill,npc_dota_hero_chen
3497644587,npc_dota_goodguys_melee_rax_top,,128,5,1262,building_kill,npc_dota_hero_sven
3497644587,npc_dota_goodguys_range_rax_top,,,,1268,building_kill,npc_dota_badguys_siege
3497644587,npc_dota_goodguys_fort,,,,1270,building_kill,dota_unknown
3497783131,9,,4,4,6,CHAT_MESSAGE_FIRSTBLOOD,
3497783131,npc_dota_badguys_tower1_mid,,0,0,425,building_kill,npc_dota_hero_invoker
3497783131,npc_dota_goodguys_tower1_bot,,131,8,625,building_kill,npc_dota_hero_monkey_king
3497783131,npc_dota_badguys_tower1_top,,,,690,building_kill,npc_dota_creep_goodguys_melee
3497783131,npc_dota_badguys_tower2_top,,0,0,969,building_kill,npc_dota_hero_invoker
